"No.","Zone Name","Zone Channel Member","A Channel","B Channel"
"21","MM Bridget 434","Bridget Cascades|Bridget I-5|Bridget Idaho 1|Bridget Local 2|Bridget MPRG1-2|Bridget Oregon 1|Bridget Parrot|Bridget PNW 1|Bridget PNW 2|Bridget PNW Reg|Bridget PS 1|Bridget PS 2|Bridget TAC 1|Bridget TAC 2|Bridget TAC 310|Bridget TAC 314|Bridget TAC 8|Bridget TG 9|Bridget Wash 1|Bridget Wash 2","Bridget Cascades","Bridget Wash 2"
"22","MM Peter 434","Peter Cascades E|Peter Idaho 1|Peter PNW Reg 2|Peter TAC 1|Peter TAC 2|Peter TAC 8|Peter TG 9|Peter Wash 1","Peter Cascades E","Peter Wash 1"
"23","MM Rex 434","Rex Cascades|Rex Idaho 1|Rex Oregon 1|Rex Parrot|Rex PNW 1|Rex PNW 2|Rex PNW Reg 2|Rex TAC 1|Rex TAC 2|Rex TAC 8|Rex TG 9|Rex USA 2|Rex Wash 1|Rex Wash 2","Rex PNW Reg 2","Rex Wash 1"
"24","MM Suzy 434","Suzy Cascades E|Suzy Idaho 1|Suzy Local 2|Suzy Montana 2|Suzy MPRG 1-2|Suzy Parrot|Suzy PNW 1|Suzy PNW 2|Suzy PNW Reg 2|Suzy TAC 1|Suzy TAC 2|Suzy TAC 8|Suzy TG 9|Suzy Wash 1 434|Suzy Wash 2 434","Suzy Cascades E","Suzy Wash 2 434"
"25","MM Wes 434","Wes I-5|Wes Oregon 1|Wes Parrot 1|Wes PNW 1|Wes PNW 2|Wes PNW Reg 2|Wes TAC 1|Wes TAC 2|Wes TAC 310|Wes TAC 8|Wes TG 9|Wes Wash 1|Wes Wash 2","Wes Wash 1","Wes Wash 2"
"26","Mt. Hebo Oregon","Hebo I-5|Hebo Local 1|Hebo Local 2|Hebo Oregon 1|Hebo Parrot 1|Hebo PNW 1|Hebo PNW 2|Hebo TAC 310|Hebo Wash 1|Hebo Wash 2","Hebo Oregon 1","Hebo Local 2"
"27","Mt. Hood Oregon","Hood I-5|Hood Local 1|Hood Local 2|Hood Oregon 1|Hood Parrot 1|Hood PNW 1|Hood PNW 2|Hood TAC 310|Hood Wash 1|Hood Wash 2","Hood Oregon 1","Hood Local 2"
"28","Mt. Seymour BC","Seymour Alberta2|Seymour BC 1|Seymour BC 2|Seymour Bridge 2|Seymour Canada 2|Seymour Comm 1|Seymour Comm 2|Seymour DCI 1|Seymour DCI 2|Seymour I-5|Seymour Loc Net|Seymour Manitoba|Seymour NA 2|Seymour NewBruns|Seymour Ontario2|Seymour PNW 1|Seymour PNW 2|Seymour TAC 310|Seymour UAEng113|Seymour UAEng123|Seymour Wash 1|Seymour Wash 2|Seymour WW 2|Seymour WW Eng 2","Seymour Wash 1","Seymour Wash 2"
"29","New Westminst BC","NW Alberta 2|NW BC 1|NW BC 2|NW Bridge 2|NW Canada 2|NW Comm 1|NW Comm 2|NW DCI 1|NW DCI 2|NW I-5|NW Local Net 1|NW Manitoba 2|NW NA 2|NW New Brunswick|NW Ontario 2|NW PNW 1|NW PNW 2|NW TAC 310|NW UA Eng 113|NW UA Eng 123|NW Wash 1|NW Wash 2|NW WW 2|NW WW Eng 2","NW Wash 1","NW Wash 2"
"30","NortBnd-ValleyCa","VC Audio Test 2|VC Cascades East|VC I-5|VC Idaho|VC Local 1|VC Local 2|VC Net 2|VC Oregon 1|VC Parrot|VC PNW 1|VC PNW 2|VC PNW Reg 2|VC TAC 1|VC TAC 2|VC TAC 3|VC USA 2|VC Wash 1|VC Wash 2","VC Cascades East","VC Wash 2"
